Program Digit	Zip_Code_Addr_CAD	January	February	March	April	May	June	July	August	September	October	November	December
F	14215	14989	14973	14992	15099	14949	14905	14832	14731	14916	14964	14970	14803
F	14211	10558	10650	10705	10718	10533	10432	10483	10406	10478	10565	10616	10470
F	14207	10236	10164	10147	10102	9965	9824	9813	9766	9745	9825	9879	9747
M	14215	7264	7374	7466	7527	7558	7615	7699	7732	7807	7870	7845	7884
F	14213	7709	7768	7797	7873	7792	7722	7630	7582	7570	7630	7683	7681
H	14215	3546	3720	3922	4067	4226	4448	4694	4827	4829	5412	5630	5881
M	14211	5462	5563	5606	5628	5595	5648	5695	5769	5765	5800	5829	5876
F	14206	5837	5847	5829	5872	5830	5719	5656	5609	5639	5727	5745	5672
M	14207	4763	4772	4907	4883	4900	4929	4934	5024	5069	5114	5151	5181
F	14212	5089	5080	5126	5119	5084	5047	5052	5044	5115	5136	5137	5035
F	14218	5014	5035	5112	5136	5061	5032	4957	4964	4994	5005	5029	4993
F	14225	4777	4817	4809	4804	4659	4560	4573	4624	4718	4757	4769	4795
M	14213	4153	4189	4268	4276	4250	4291	4283	4351	4311	4381	4423	4444
F	14150	4150	4226	4291	4322	4249	4195	4169	4109	4151	4171	4182	4180
F	14210	4272	4200	4226	4222	4180	4186	4144	4169	4159	4200	4162	4125
H	14211	2372	2479	2682	2840	2980	3170	3390	3503	3497	3800	3933	4108
F	14208	3751	3784	3820	3900	3852	3789	3780	3743	3799	3831	3875	3886
F	14201	4016	3994	3980	3948	3868	3817	3805	3794	3846	3882	3906	3854
F	14220	3785	3714	3710	3703	3627	3582	3565	3597	3576	3603	3630	3636
F	14204	3496	3499	3506	3552	3540	3568	3575	3549	3556	3619	3655	3611
F	14214	3672	3651	3681	3714	3648	3606	3564	3575	3574	3611	3603	3557
M	14206	2864	2864	2943	2940	2931	2961	2982	3008	3013	3003	3007	3013
F	14216	2983	2960	2938	2941	2926	2894	2875	2863	2915	2936	2927	2943
M	14212	2619	2654	2696	2731	2751	2769	2781	2789	2802	2797	2846	2870
H	14207	1620	1726	1914	2011	2098	2239	2379	2464	2462	2652	2752	2868
F	14202	2577	2561	2565	2554	2478	2480	2546	2659	2690	2778	2863	2845
H	14225	1742	1843	1991	2046	2108	2190	2293	2357	2352	2493	2604	2743
F	14226	2740	2783	2794	2856	2814	2775	2742	2729	2740	2744	2752	2731
H	14206	1717	1812	1933	1991	2023	2127	2248	2311	2300	2527	2595	2718
M	14201	2511	2537	2534	2539	2513	2523	2533	2567	2582	2600	2603	2611
F	14075	2613	2652	2656	2690	2604	2578	2561	2541	2527	2555	2604	2600
F	14228	2579	2580	2558	2547	2527	2536	2516	2526	2542	2582	2602	2580
M	14218	2384	2414	2406	2447	2451	2471	2499	2511	2506	2511	2527	2544
F	14227	2436	2415	2456	2474	2459	2443	2412	2420	2463	2501	2493	2528
M	14150	2389	2355	2358	2364	2379	2389	2407	2423	2449	2464	2488	2502
F	14224	2495	2514	2546	2558	2522	2479	2455	2424	2450	2483	2499	2456
F	14217	2515	2528	2553	2538	2496	2483	2462	2452	2459	2461	2472	2446
H	14150	1602	1668	1772	1832	1852	1926	2020	2086	2075	2216	2305	2404
P	14215	2702	2658	2639	2541	2473	2388	2363	2290	2285	2393	2444	2384
M	14214	2174	2194	2236	2245	2230	2232	2261	2277	2331	2339	2344	2361
M	14225	2246	2261	2272	2294	2291	2282	2278	2308	2317	2320	2349	2351
H	14213	1460	1502	1575	1696	1768	1856	1963	2032	2026	2177	2240	2314
M	14208	2065	2061	2081	2128	2117	2160	2206	2220	2220	2217	2259	2271
M	14204	2068	2087	2140	2152	2163	2178	2186	2187	2212	2216	2205	2214
F	14043	2242	2213	2238	2207	2184	2117	2058	2045	2070	2105	2138	2165
M	14210	2047	2054	2061	2070	2077	2098	2099	2113	2122	2102	2118	2150
H	14218	1395	1459	1513	1548	1602	1691	1790	1835	1840	1990	2041	2114
M	14221	1966	1975	1992	2020	2009	2038	2060	2096	2098	2090	2096	2081
S	14215	2257	2174	2137	2171	2192	2167	2178	2138	2218	2181	2130	2043
M	14220	1969	1956	1952	1969	1966	1980	1991	2013	2018	2009	2009	2028
H	14220	1266	1341	1436	1507	1560	1639	1679	1732	1729	1875	1936	2026
M	14075	1920	1915	1931	1957	1947	1947	1978	1988	1982	1982	1999	1993
F	14221	1936	1928	1952	1991	1979	1972	1955	1930	1969	1954	1978	1988
P	14211	2125	2095	2017	1993	1936	1906	1932	1912	1880	1914	1934	1888
H	14210	1090	1134	1209	1246	1288	1389	1494	1525	1527	1652	1761	1820
F	14223	1922	1934	1908	1905	1900	1891	1827	1815	1824	1852	1826	1814
H	14212	1025	1086	1183	1255	1301	1414	1489	1536	1536	1645	1719	1792
M	14224	1673	1683	1693	1701	1714	1710	1718	1738	1740	1740	1757	1772
M	14216	1680	1690	1700	1714	1719	1714	1719	1741	1754	1747	1736	1746
H	14208	1005	1054	1131	1191	1218	1294	1370	1415	1415	1574	1662	1711
H	14075	1167	1235	1281	1313	1344	1425	1479	1501	1499	1605	1651	1701
H	14224	1245	1298	1340	1373	1420	1464	1499	1529	1529	1576	1623	1683
M	14227	1517	1510	1531	1527	1547	1574	1580	1591	1600	1592	1595	1599
P	14207	1971	1905	1890	1829	1782	1771	1741	1651	1639	1626	1646	1593
M	14226	1439	1436	1459	1450	1456	1467	1513	1545	1556	1550	1568	1575
P	14213	1821	1815	1813	1759	1681	1622	1642	1608	1563	1585	1573	1558
M	14217	1550	1544	1549	1551	1527	1530	1542	1542	1555	1554	1554	1537
M	14228	1438	1420	1445	1452	1445	1464	1478	1485	1487	1519	1518	1523
F	14086	1512	1505	1473	1460	1441	1418	1426	1392	1399	1444	1478	1474
F	14209	1456	1457	1462	1490	1456	1461	1460	1476	1486	1470	1492	1473
H	14214	915	955	1035	1071	1098	1165	1223	1257	1256	1375	1418	1444
F	14219	1418	1427	1430	1448	1425	1420	1417	1400	1402	1406	1405	1409
H	14217	983	1040	1066	1094	1113	1147	1193	1227	1224	1290	1340	1387
H	14226	921	959	995	1041	1059	1135	1180	1223	1227	1277	1325	1372
H	14227	953	968	1014	1062	1110	1159	1187	1204	1203	1265	1294	1362
H	14216	875	907	969	985	1012	1058	1094	1120	1122	1251	1287	1339
H	14221	893	932	990	1028	1061	1118	1155	1190	1189	1250	1281	1324
H	14043	997	1047	1096	1104	1110	1165	1184	1196	1193	1238	1276	1309
H	14223	857	897	940	974	996	1035	1065	1092	1092	1170	1217	1265
M	14209	1112	1132	1158	1177	1170	1181	1184	1203	1231	1231	1226	1223
S	14211	1340	1311	1252	1277	1251	1251	1243	1242	1274	1260	1227	1222
M	14086	1147	1142	1148	1166	1171	1174	1178	1185	1194	1192	1204	1212
M	14043	1120	1130	1140	1137	1132	1167	1175	1179	1198	1198	1206	1194
P	14212	1207	1223	1181	1149	1087	1080	1087	1055	1092	1120	1127	1081
M	14223	996	1001	1004	1012	996	995	1022	1031	1033	1043	1050	1069
H	14086	693	735	773	797	831	849	892	903	902	972	1002	1032
