Program Digit,Zip_Code_Addr_CAD,,0
F,14215,January,14989.0
F,14215,February,14973.0
F,14215,March,14992.0
F,14215,April,15099.0
F,14215,May,14949.0
F,14215,June,14905.0
F,14215,July,14832.0
F,14215,August,14731.0
F,14215,September,14916.0
F,14215,October,14964.0
F,14215,November,14970.0
F,14215,December,14803.0
F,14211,January,10558.0
F,14211,February,10650.0
F,14211,March,10705.0
F,14211,April,10718.0
F,14211,May,10533.0
F,14211,June,10432.0
F,14211,July,10483.0
F,14211,August,10406.0
F,14211,September,10478.0
F,14211,October,10565.0
F,14211,November,10616.0
F,14211,December,10470.0
F,14207,January,10236.0
F,14207,February,10164.0
F,14207,March,10147.0
F,14207,April,10102.0
F,14207,May,9965.0
F,14207,June,9824.0
F,14207,July,9813.0
F,14207,August,9766.0
F,14207,September,9745.0
F,14207,October,9825.0
F,14207,November,9879.0
F,14207,December,9747.0
M,14215,January,7264.0
M,14215,February,7374.0
M,14215,March,7466.0
M,14215,April,7527.0
M,14215,May,7558.0
M,14215,June,7615.0
M,14215,July,7699.0
M,14215,August,7732.0
M,14215,September,7807.0
M,14215,October,7870.0
M,14215,November,7845.0
M,14215,December,7884.0
F,14213,January,7709.0
F,14213,February,7768.0
F,14213,March,7797.0
F,14213,April,7873.0
F,14213,May,7792.0
F,14213,June,7722.0
F,14213,July,7630.0
F,14213,August,7582.0
F,14213,September,7570.0
F,14213,October,7630.0
F,14213,November,7683.0
F,14213,December,7681.0
H,14215,January,3546.0
H,14215,February,3720.0
H,14215,March,3922.0
H,14215,April,4067.0
H,14215,May,4226.0
H,14215,June,4448.0
H,14215,July,4694.0
H,14215,August,4827.0
H,14215,September,4829.0
H,14215,October,5412.0
H,14215,November,5630.0
H,14215,December,5881.0
M,14211,January,5462.0
M,14211,February,5563.0
M,14211,March,5606.0
M,14211,April,5628.0
M,14211,May,5595.0
M,14211,June,5648.0
M,14211,July,5695.0
M,14211,August,5769.0
M,14211,September,5765.0
M,14211,October,5800.0
M,14211,November,5829.0
M,14211,December,5876.0
F,14206,January,5837.0
F,14206,February,5847.0
F,14206,March,5829.0
F,14206,April,5872.0
F,14206,May,5830.0
F,14206,June,5719.0
F,14206,July,5656.0
F,14206,August,5609.0
F,14206,September,5639.0
F,14206,October,5727.0
F,14206,November,5745.0
F,14206,December,5672.0
M,14207,January,4763.0
M,14207,February,4772.0
M,14207,March,4907.0
M,14207,April,4883.0
M,14207,May,4900.0
M,14207,June,4929.0
M,14207,July,4934.0
M,14207,August,5024.0
M,14207,September,5069.0
M,14207,October,5114.0
M,14207,November,5151.0
M,14207,December,5181.0
F,14212,January,5089.0
F,14212,February,5080.0
F,14212,March,5126.0
